Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
39,5i,Iron,03/21/2025 17:11:19,116.3,-0.7,14.7,2827,-595,2889,174.7,193.6,-19.7,21.6,35.2,80.0,80.5,1.45,-1.4,1.8,-1.8,-1.1,18.0,-1,-2,2051.8
40,5i,Iron,03/21/2025 17:11:37,116.3,3.9,15.8,3238,277,3250,174.1,190.8,20.7,24.4,38.5,82.0,80.5,1.41,-2.1,3.1,3.2,-0.5,20.2,4,-1,2065.9
41,5i,Iron,03/21/2025 17:11:56,82.8,-2.3,10.8,165,-1021,1034,53.5,86.0,-12.3,2.7,12.2,72.7,0.0,1.15,6.1,0.5,0.0,0.0,0.0,0,0,0.0
42,5i,Iron,03/21/2025 17:12:14,116.3,6.6,18.3,4309,1066,4439,169.5,184.5,44.0,30.2,44.8,84.4,85.0,1.39,-2.0,2.2,6.6,0.6,23.4,9,-8,2145.8
43,5i,Iron,03/21/2025 17:12:33,109.6,0.1,12.6,3809,555,3849,154.6,171.4,11.2,17.3,33.0,83.3,82.8,1.33,-1.6,0.3,-0.1,0.9,20.4,12,-17,2168.0
44,5i,Iron,03/21/2025 17:13:01,118.6,0.1,13.7,3551,-242,3559,174.1,199.3,-6.3,22.2,36.5,83.4,82.8,1.41,-1.7,2.2,0.3,-0.1,18.1,5,-13,1680.4
45,4h,Hybrid,03/21/2025 17:17:26,111.8,-1.9,15.1,1365,-952,1664,154.8,181.3,-37.2,14.7,25.9,82.5,82.8,1.35,2.4,1.2,-4.6,2.4,44.3,3,0,1398.5
46,4h,Hybrid,03/21/2025 17:17:44,127.5,0.6,1.9,3734,202,3739,148.4,172.0,5.6,4.7,12.7,88.7,89.5,1.43,-0.8,1.6,1.1,1.7,21.0,-8,-21,2025.1
47,4h,Hybrid,03/21/2025 17:18:05,120.8,0.9,10.3,4921,534,4950,170.1,184.8,13.3,19.7,35.7,86.5,87.2,1.41,-0.4,2.4,2.3,-0.2,22.3,0,-14,2329.0
48,4h,Hybrid,03/21/2025 17:18:28,129.7,-0.8,13.5,4077,-249,4085,193.1,210.8,-9.8,28.6,41.7,88.3,89.5,1.46,0.7,1.7,0.3,0.3,22.2,-1,-8,2002.6
49,4h,Hybrid,03/21/2025 17:18:50,111.8,2.4,15.5,1301,-775,1514,161.4,188.6,-20.7,15.7,26.4,83.4,85.0,1.34,1.6,2.1,-1.8,1.4,43.4,-9,-1,1617.3
50,4h,Hybrid,03/21/2025 17:19:15,125.3,3.0,14.3,2365,-206,2374,199.4,225.5,3.1,24.2,34.9,87.1,87.2,1.43,-0.9,2.4,3.3,0.8,24.3,-3,2,1424.5
51,4h,Hybrid,03/21/2025 17:19:38,127.5,0.6,15.3,3752,534,3790,192.8,209.6,17.5,30.4,42.7,89.3,89.5,1.42,-1.0,-0.2,3.0,-0.2,27.1,8,-3,2067.3
52,4h,Hybrid,03/21/2025 17:20:00,125.3,0.2,15.5,3655,500,3689,189.8,206.8,15.1,29.5,42.2,88.7,87.2,1.41,-0.8,0.4,3.6,-0.1,24.5,10,0,2040.4
53,4h,Hybrid,03/21/2025 17:20:27,127.5,0.5,11.8,4534,213,4539,185.8,200.5,6.7,24.9,39.7,88.6,89.5,1.44,-1.0,1.6,2.0,0.6,22.1,2,-10,2114.2
